attack_id,nombre,n,excluido,det_real_only,det_synthetic_only,det_real_plus_synthetic
1.0,Stage 5 Valve Manipulation — M,71,True,0.0,0.0,0.0
2.0,Stage 1 Flow Disruption — MV10,71,True,0.0,0.0,0.0
3.0,Florida Water Plant Scenario —,71,False,83.1,62.0,0.0
4.0,Tank Overflow via LIT101 Spoof,71,False,83.1,0.0,0.0
5.0,Stage 5 Valve Manipulation — M,71,False,49.3,8.5,0.0
6.0,Tank Overflow via LIT101 Spoof,30,False,60.0,60.0,0.0
7.0,Stage 2 Parallel Pump Override,65,False,56.9,81.5,35.4
8.0,Reverse Osmosis Backwash Diver,71,False,83.1,5.6,0.0
9.0,Forced Backwash Trigger via DP,71,False,83.1,83.1,81.7
10.0,Multi-Value Level Oscillation ,71,False,83.1,83.1,83.1
11.0,AIT402 High-Value Spoof Start ,71,False,71.8,83.1,70.4
