attack_id,n,det_real_only,det_synthetic_only,det_real_plus_synthetic
1,949,0.0,0.0,0.0
2,452,10.6,2.2,0.0
3,392,13.8,0.0,12.5
7,438,89.7,0.0,4.1
8,973,99.7,97.7,97.9
10,165,1.2,0.6,5.5
11,565,89.4,100.0,95.9
16,285,0.0,0.0,0.0
17,726,25.5,0.0,0.0
21,730,69.6,0.0,1.4
22,472,0.0,74.6,13.3
23,706,99.7,94.3,97.5
25,621,8.7,0.0,13.0
26,1454,3.1,6.1,2.5
27,1696,0.0,0.0,0.0
28,34213,93.9,92.8,95.0
30,1180,4.4,2.6,3.9
31,376,3.5,0.0,24.2
32,610,87.7,15.2,72.6
33,453,51.0,26.7,34.7
35,490,12.0,18.4,28.4
36,549,83.2,98.4,86.5
37,0,0.0,0.0,0.0
39,0,0.0,0.0,0.0
40,0,0.0,0.0,0.0
41,0,0.0,0.0,0.0
