AIT201.Pv,AIT202.Pv,AIT203.Pv,AIT401.Pv,AIT402.Pv,AIT501.Pv,AIT502.Pv,AIT503.Pv,AIT504.Pv,DPIT301.Pv,FIT101.Pv,FIT201.Pv,FIT301.Pv,FIT401.Pv,FIT501.Pv,FIT502.Pv,FIT503.Pv,FIT504.Pv,FIT601.Pv,LIT101.Pv,LIT301.Pv,LIT401.Pv,MV101.Status,MV201.Status,MV301.Status,MV302.Status,MV303.Status,MV304.Status,MV501.Status,MV502.Status,MV503.Status,MV504.Status,P101.Status,P102.Status,P1_STATE,P201.Status,P202.Status,P203.Status,P204.Status,P205.Status,P206.Status,P2_STATE,P301.Status,P302.Status,P3_STATE,P401.Status,P402.Status,P403.Status,P404.Status,P4_STATE,P501.Status,P502.Status,P5_STATE,P601.Status,P602.Status,P6_STATE,PIT501.Pv,PIT502.Pv,PIT503.Pv,UV401.Status,t_stamp
72.86593,8.722956,151.448349,0,0,7.177519,173.0582,57.4211731,2.268649,18.8168258999999,0.0,2.3444078,2.21580243,1.35232735,1.35657525,1.20135772,0.1129213,0.0,0.000256303465,531.168335,275.690521,892.5019,1,2,1,2,1,1,2,2,1,1,2,1,3,2,1,2,1,2,1,2,2,1,7,2,1,1,1,4,2,1,12,1,1,2,226.5605,3.05962253,200.63765,2,2020-06-29 10:00:00
72.86593,8.722956,151.448349,0,0,7.177519,173.0582,57.4211731,2.268649,18.8072223999999,0.0,2.3444078,2.21413684,1.35232735,1.35657525,1.19956446,0.114585668,0.0,0.000256303465,530.422546,275.690521,892.540344,1,2,1,2,1,1,2,2,1,1,2,1,3,2,1,2,1,2,1,2,2,1,7,2,1,1,1,4,2,1,12,1,1,2,226.5605,3.05962253,200.63765,2,2020-06-29 10:00:01
72.9300155999999,8.722956,151.448349,0,0,7.177519,173.0582,57.4211731,2.268649,18.8072223999999,0.0,2.3444078,2.21259952,1.3502785,1.35657525,1.205841,0.114585668,0.0,0.000256303465,530.304749,275.690521,892.617249,1,2,1,2,1,1,2,2,1,1,2,1,3,2,1,2,1,2,1,2,2,1,7,2,1,1,1,4,2,1,12,1,1,2,226.5605,3.05962253,200.63765,2,2020-06-29 10:00:02
72.9300155999999,8.722956,151.884125,0,0,7.177519,173.0582,57.4211731,2.268649,18.8104229,0.0,2.3444078,2.21259952,1.3483578,1.3567034,1.214423,0.114585668,0.0,0.000256303465,529.401999999999,275.690521,892.6557,1,2,1,2,1,1,2,2,1,1,2,1,3,2,1,2,1,2,1,2,2,1,7,2,1,1,1,4,2,1,12,1,1,2,226.5605,3.05962253,200.63765,2,2020-06-29 10:00:03
73.0261459,8.722956,151.884125,0,0,7.177519,173.0582,57.4211731,2.268649,18.8104229,0.0,2.345433,2.21259952,1.3483578,1.35836971,1.21006787,0.114585668,0.0,0.000256303465,529.5197,275.970917,892.617249,1,2,1,2,1,1,2,2,1,1,2,1,3,2,1,2,1,2,1,2,2,1,7,2,1,1,1,4,2,1,12,1,1,2,226.5605,3.05962253,200.63765,2,2020-06-29 10:00:04
73.12228,8.722956,151.884125,0,0,7.177519,173.0582,57.4211731,2.268649,18.8104229,0.0,2.345433,2.21349645,1.3483578,1.35836971,1.213014,0.114585668,0.0,0.000256303465,528.9309,276.010956,892.7326,1,2,1,2,1,1,2,2,1,1,2,1,3,2,1,2,1,2,1,2,2,1,7,2,1,1,1,4,2,1,12,1,1,2,226.5605,3.05962253,200.63765,2,2020-06-29 10:00:05
73.12228,8.722956,151.884125,0,0,7.177519,172.827484,57.4211731,2.268649,18.7399959999999,0.0,2.345433,2.21349645,1.3483578,1.35836971,1.21557581,0.114585668,0.0,0.000256303465,529.048645,276.4115,892.694152999999,1,2,1,2,1,1,2,2,1,1,2,1,3,2,1,2,1,2,1,2,2,1,7,2,1,1,1,4,2,1,12,1,1,2,226.5605,3.05962253,200.63765,2,2020-06-29 10:00:06
73.12228,8.722956,151.884125,0,0,7.177519,172.827484,57.4211731,2.268649,18.7399959999999,0.0,2.343639,2.21349645,1.3483578,1.35760069,1.21557581,0.114585668,0.0,0.000256303465,528.1851,276.4115,892.540344,1,2,1,2,1,1,2,2,1,1,2,1,3,2,1,2,1,2,1,2,2,1,7,2,1,1,1,4,2,1,12,1,1,2,226.5605,3.05962253,200.63765,2,2020-06-29 10:00:07
73.12228,8.722956,151.884125,0,0,7.177519,172.827484,57.4211731,2.268649,18.7399959999999,0.0,2.34312629999999,2.219005,1.3483578,1.35760069,1.22467017,0.114585668,0.0,0.000256303465,527.753357,276.4115,892.694152999999,1,2,1,2,1,1,2,2,1,1,2,1,3,2,1,2,1,2,1,2,2,1,7,2,1,1,1,4,2,1,12,1,1,2,226.5605,3.05962253,200.63765,2,2020-06-29 10:00:08
73.09023,8.722956,151.884125,0,0,7.177519,172.827484,57.4211731,2.268649,18.7399959999999,0.0,2.34287,2.21964574,1.346437,1.35760069,1.21826565,0.114585668,0.0,0.000256303465,527.243042,276.4115,892.8095,1,2,1,2,1,1,2,2,1,1,2,1,3,2,1,2,1,2,1,2,2,1,7,2,1,1,1,4,2,1,12,1,1,2,226.672652999999,3.05962253,200.63765,2,2020-06-29 10:00:09
