attack_id,nombre,n,excluido,det_real_only,det_synthetic_only,det_real_plus_synthetic
1.0,Attack_01,100,False,0.0,0.0,0.0
2.0,Attack_02,51,False,0.0,0.0,0.0
3.0,Attack_03,44,False,0.0,0.0,0.0
4.0,Attack_04,45,True,0.0,0.0,0.0
5.0,Attack_05,26,True,0.0,0.0,0.0
6.0,Attack_06,49,True,0.0,0.0,0.0
7.0,Attack_07,102,False,0.0,0.0,0.0
8.0,Attack_08,78,False,76.9,75.6,78.2
9.0,Attack_09,78,True,0.0,0.0,0.0
10.0,Attack_10,29,False,0.0,0.0,0.0
11.0,Attack_11,49,False,0.0,0.0,0.0
12.0,Attack_12,34,True,0.0,0.0,0.0
13.0,Attack_13,77,True,0.0,0.0,0.0
14.0,Attack_14,31,True,0.0,0.0,0.0
15.0,Attack_15,44,True,0.0,0.0,0.0
16.0,Attack_16,78,False,0.0,0.0,0.0
17.0,Attack_17,53,False,92.5,92.5,96.2
18.0,Attack_18,76,True,0.0,0.0,0.0
19.0,Attack_19,34,True,0.0,0.0,0.0
20.0,Attack_20,67,True,0.0,0.0,0.0
21.0,Attack_21,151,False,0.0,0.7,0.0
22.0,Attack_22,3596,False,89.0,89.0,89.0
23.0,Attack_23,18,False,0.0,0.0,0.0
24.0,Attack_24,123,True,0.0,0.0,0.0
25.0,Attack_25,42,False,0.0,0.0,0.0
26.0,Attack_26,66,False,0.0,0.0,0.0
27.0,Attack_27,50,False,0.0,0.0,0.0
28.0,Attack_28,16,False,0.0,0.0,0.0
29.0,Attack_29,54,True,0.0,0.0,0.0
30.0,Attack_30,59,False,0.0,0.0,61.0
31.0,Attack_31,52,False,86.5,84.6,86.5
32.0,Attack_32,34,False,29.4,0.0,0.0
33.0,Attack_33,46,False,82.6,0.0,69.6
34.0,Attack_34,35,True,82.9,77.1,80.0
35.0,Attack_35,175,False,0.0,0.0,0.0
