train,val,f1_val
0.7749504517248975,0.4329743230784381,0.18230562998919383
0.41109112777361057,0.4799728080354355,0.4891640866382502
0.27394913294451023,0.5690539980100261,0.268792710657124
0.2203645592297965,0.6228630480666956,0.24815361886688472
0.17511467511455217,0.5901912365246702,0.3051470587783
0.15682254113802097,0.5797095534702142,0.32432432427806307
0.13549413242778643,0.7177878292277455,0.233378561698837
0.1086811863219108,0.8669327710996624,0.2117930204223511
0.10751116474923807,0.5342430228505421,0.4063324537756518
0.08567838952308748,0.6575216205652665,0.29850746264102324
0.07693460403479696,0.6504730673127428,0.3054003723939716
0.0740723597203813,0.6061859305784175,0.37587006955626856
0.06990126050948127,0.7081444070079468,0.30798479082858293
0.07740387891048217,0.731803002698278,0.28975265013232965
0.067559645454422,0.7032442188442305,0.30337078647122906
0.07492359915778525,0.7878132791741302,0.27814569532139655
0.06924103078152227,0.6565250014429223,0.38679245278070157
