attack_id,n,det_real_only,det_synthetic_only,det_real_plus_synthetic
1,949,0.0,0.0,33.1
2,452,10.6,0.0,4.6
3,392,13.8,0.0,6.6
7,438,89.7,0.0,42.5
8,973,99.7,83.5,97.3
10,165,1.2,0.0,0.0
11,565,89.4,7.8,24.1
16,285,0.0,0.0,0.0
17,726,25.5,0.0,12.4
21,730,69.6,0.0,4.9
22,472,0.0,38.8,0.0
23,706,99.7,76.1,98.0
25,621,8.7,84.1,0.0
26,1454,3.1,7.7,2.1
27,1696,0.0,0.0,0.0
28,34213,93.9,98.0,93.5
30,1180,4.4,0.0,3.8
31,376,3.5,0.0,33.0
32,610,87.7,0.0,89.3
33,453,51.0,11.3,50.8
35,490,12.0,5.3,4.7
36,549,83.2,27.5,90.3
37,0,0.0,0.0,0.0
39,0,0.0,0.0,0.0
40,0,0.0,0.0,0.0
41,0,0.0,0.0,0.0
