epoch,train_loss,val_loss
1,0.2731200096091168,0.3855432322134777
2,0.10649098717176274,0.36940641427526666
3,0.08036427223592396,0.402955491019755
4,0.06820230479758457,0.39960680715739727
5,0.06525740324950859,0.3960802956123133
6,0.06398626243783123,0.38442495609728655
7,0.05727967921169412,0.3883860123400785
8,0.055925979885278934,0.35730334542387604
9,0.0532772836881696,0.3773348264928375
10,0.054030958131805765,0.34323310528938866
11,0.04814380354829283,0.35415720867411216
12,0.04705700054514728,0.32450935601884007
13,0.0429414749058001,0.3406358154832709
14,0.039961066953337836,0.34279169062418596
15,0.04279074134092603,0.33551752225172765
16,0.03749278345264044,0.360855978058309
17,0.03711081689361158,0.31834195999010484
18,0.03544403751374491,0.3264903781973586
19,0.05718367758063262,0.3492507140095137
20,0.04239128513149167,0.3048050621030282
21,0.040223204699538696,0.3009709505250259
22,0.03632878344005987,0.29636234102048437
23,0.03481518477201462,0.3015165190991698
24,0.03370917773486784,0.3113290187047452
25,0.03489332142342257,0.32444854863748257
26,0.03403742024487497,0.32708094090375367
27,0.03271500018719059,0.3339862421307029
28,0.0321126588113956,0.3374540608908449
29,0.031557152091506745,0.33287081145206276
30,0.031759720633193954,0.3387047236747279
31,0.032316773011030364,0.3748477545319771
32,0.031333642974245866,0.35087388826116006
33,0.032327480807950434,0.35071913362005536
34,0.0510271021271212,0.30705963824020355
35,0.054478930096898304,0.2989415023095754
36,0.03651091493291143,0.29790461778032534
37,0.035149975379791434,0.30232491975232045
38,0.03463807439544057,0.2958129870002063
39,0.03529241156058024,0.3093326609885814
40,0.0344385257640841,0.33771816547960043
