epoch,g_loss,d_loss,e_loss
1,1.6265503908025807,2.0031728744506836,0.014550764049435484
2,1.9529696291890637,1.9442708780025613,0.02216203298805089
3,2.016333427922479,1.9188325281800895,0.01249037634838244
4,2.015549429531755,1.8759923515648678,0.007470429136321463
5,2.110213098854854,1.8358353006428685,0.005863313892342407
6,2.243948484289235,1.8244657064306324,0.005721452100009754
7,2.2208021591449607,1.8874909548923886,0.004262991787480383
8,2.1930226539743356,1.9067323988881604,0.003624656623036697
9,2.1759343476131043,1.9241905993428723,0.014573888419645614
10,2.1487914611553323,1.935502027643138,0.010216048918664455
11,2.1964263176095895,1.9047362845519493,0.005713687864421257
12,2.20567877539273,1.8978360932448815,0.0047765227821495
13,2.1755674871905097,1.9149676890208804,0.00444054647734196
14,2.195725046355149,1.9108192715151557,0.004683581389615248
15,2.2108708743391365,1.9075786080853692,0.004519881150717366
16,2.1624716479202797,1.9288182998525685,0.00410408357254647
17,2.1682403087615967,1.924017593778413,0.00393962660194214
18,2.1771774949698615,1.9193533124594853,0.0035407950475426584
19,2.181614481169602,1.917298382726209,0.003139257045655415
20,2.183347932223616,1.9148120181313877,0.0029537367979706876
21,2.1858798059923896,1.911870187726514,0.002837269855984326
22,2.195031223625972,1.9058952824822788,0.002940549129812882
23,2.1956781190017174,1.9086348846040924,0.0026357074525078824
24,2.1972046062864106,1.9074317833472942,0.002677900263044084
25,2.198124622476512,1.905800461769104,0.002534544986576356
26,2.189270693680336,1.9101846793602253,0.002486753502282603
27,2.185754923984922,1.9124689389919411,0.0023836718815989024
28,2.1844121341047615,1.914580254719175,0.003282118259511631
29,2.174237950094815,1.9216975179211846,0.0048266899659587395
30,2.1810920567348084,1.9163404703140259,0.0033654191467011796
31,2.1870620579555116,1.9113482730142002,0.003143569896126102
32,2.201945082894687,1.897562495593367,0.003012089412017115
33,2.2090707565176078,1.8991892913292194,0.0024330796280490428
34,2.2054616171738197,1.902832080577982,0.00255792498476161
35,2.1956042750128386,1.9047845149862355,0.0024065122265240243
36,2.232895958012548,1.8826201332026515,0.002720087052098122
