attack_id,n,det_real_only,det_synthetic_only,det_real_plus_synthetic
1,949,0.0,0.0,0.0
2,452,10.6,0.0,7.3
3,392,13.8,0.0,7.9
7,438,89.7,0.0,1.1
8,973,99.7,97.2,99.3
10,165,1.2,0.0,1.8
11,565,89.4,34.3,97.7
16,285,0.0,0.0,0.0
17,726,25.5,0.0,0.0
21,730,69.6,0.0,1.9
22,472,0.0,42.4,81.8
23,706,99.7,53.8,97.3
25,621,8.7,0.0,9.7
26,1454,3.1,4.8,7.3
27,1696,0.0,0.0,0.0
28,34213,93.9,93.4,93.7
30,1180,4.4,2.5,4.0
31,376,3.5,0.0,0.0
32,610,87.7,10.7,38.2
33,453,51.0,25.4,37.5
35,490,12.0,15.9,14.5
36,549,83.2,82.7,100.0
37,0,0.0,0.0,0.0
39,0,0.0,0.0,0.0
40,0,0.0,0.0,0.0
41,0,0.0,0.0,0.0
