attack_id,n_windows,mean_score,pct_pred_f1,pct_pred_f2,detected_f1,detected_f2
1,100,0.4564654231071472,0.0,0.0,False,False
2,51,0.43699854612350464,0.0,0.0,False,False
3,44,0.4666905105113983,0.0,0.0,False,False
7,49,0.5959024429321289,0.0,0.0,False,False
8,102,0.7336509823799133,0.0,0.0,False,False
10,19,1.0540097951889038,0.0,5.2631578947368425,False,True
11,59,2.0983119010925293,98.30508474576271,100.0,True,True
16,34,0.43027162551879883,0.0,0.0,False,False
17,77,0.4609849154949188,0.0,0.0,False,False
21,78,0.6822938919067383,0.0,0.0,False,False
22,53,2.142578363418579,94.33962264150944,100.0,True,True
23,76,1.3357930183410645,1.3157894736842106,76.3157894736842,True,True
25,67,1.0126357078552246,0.0,0.0,False,False
26,151,0.9789010286331177,0.0,5.298013245033113,False,True
27,172,0.8745202422142029,0.0,0.0,False,False
28,3424,2.3856732845306396,93.48714953271028,94.27570093457943,True,True
30,123,0.8103950023651123,0.0,0.0,False,False
31,42,1.1619913578033447,0.0,0.0,False,False
32,66,1.3382596969604492,0.0,87.87878787878788,False,True
33,50,0.8942736983299255,0.0,0.0,False,False
35,54,0.9719071388244629,0.0,0.0,False,False
36,59,1.1136232614517212,0.0,5.084745762711864,False,True
37,52,2.2531862258911133,90.38461538461539,90.38461538461539,True,True
39,46,1.4854811429977417,76.08695652173913,86.95652173913044,True,True
40,35,2.06746506690979,85.71428571428571,85.71428571428571,True,True
41,172,1.058076024055481,0.0,0.0,False,False
