attack_id,n,det_real_only,det_synthetic_only,det_real_plus_synthetic
1,949,0.0,0.0,0.0
2,452,10.6,0.0,12.2
3,392,13.8,0.0,25.0
7,438,89.7,0.0,0.0
8,973,99.7,50.5,99.9
10,165,1.2,0.0,4.8
11,565,89.4,8.0,97.9
16,285,0.0,0.0,10.2
17,726,25.5,0.0,2.3
21,730,69.6,0.0,0.0
22,472,0.0,0.0,58.5
23,706,99.7,2.1,98.9
25,621,8.7,0.0,6.0
26,1454,3.1,5.7,5.2
27,1696,0.0,0.0,0.0
28,34213,93.9,94.0,93.9
30,1180,4.4,0.0,2.8
31,376,3.5,0.0,14.6
32,610,87.7,0.0,89.5
33,453,51.0,20.3,36.9
35,490,12.0,1.8,16.5
36,549,83.2,28.6,88.3
37,0,0.0,0.0,0.0
39,0,0.0,0.0,0.0
40,0,0.0,0.0,0.0
41,0,0.0,0.0,0.0
