t_stamp,P1_STATE,LIT101.Pv,FIT101.Pv,MV101.Status,P101.Status,P102.Status,P2_STATE,FIT201.Pv,AIT201.Pv,AIT202.Pv,AIT203.Pv,MV201.Status,P201.Status,P202.Status,P203.Status,P204.Status,P205.Status,P206.Status,P207.Status,P208.Status,LS201.Alarm,LS202.Alarm,LSL203.Alarm,LSLL203.Alarm,P3_STATE,AIT301.Pv,AIT302.Pv,AIT303.Pv,LIT301.Pv,FIT301.Pv,DPIT301.Pv,MV301.Status,MV302.Status,MV303.Status,MV304.Status,P301.Status,P302.Status,PSH301.Alarm,DPSH301.Alarm,P4_STATE,LIT401.Pv,FIT401.Pv,AIT401.Pv,AIT402.Pv,P401.Status,P402.Status,P403.Status,P404.Status,UV401.Status,LS401.Alarm,P5_STATE,FIT501.Pv,FIT502.Pv,FIT503.Pv,FIT504.Pv,AIT501.Pv,AIT502.Pv,AIT503.Pv,AIT504.Pv,PIT501.Pv,PIT502.Pv,PIT503.Pv,P501.Status,P501.Speed,P502.Status,P502.Speed,MV501.Status,MV502.Status,MV503.Status,MV504.Status,PSH501.Alarm,PSL501.Alarm,P6_STATE,LIT601.Pv,LIT602.Pv,FIT601.Pv,FIT602.Pv,P601.Status,P602.Status,P603.Status,LSH601.Alarm,LSL601.Alarm,LSH602.Alarm,LSL602.Alarm,LSH603.Alarm,LSL603.Alarm
11-Mar-2026 09:00:00,1,809.6666,0.0,1,1,1,1,0.0,99.36555,9.99827,152.525,1,1,1,1,1,1,1,1,1,Inactive,Inactive,Inactive,Active,1,7.714322,194.71156299999998,31.01991,655.480957,0.0,3.6173889999999997,1,1,1,1,1,1,Bad Input,Bad Input,1,1006.39581,0.0,0.0,203.896439,1,1,1,1,1,Inactive,1,0.0026916174699999997,0.00179326255,0.0014083154999999998,0.0,8.918097999999999,305.152527,163.195328,29.838502899999998,9.068188000000001,0.0,6.77710867,1,0.0,1,0.0,1,1,1,1,Bad Input,Bad Input,1,341.643158,548.7695309999999,0.0,0.884246945,1,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active
11-Mar-2026 09:00:01,1,809.6666,0.0,1,1,1,1,0.0,99.36555,9.994104,152.525,1,1,1,1,1,1,1,1,1,Inactive,Inactive,Inactive,Active,1,7.714322,194.71156299999998,31.01991,655.480957,0.0,3.6173889999999997,1,1,1,1,1,1,Bad Input,Bad Input,1,1006.43427,0.0,0.0,203.896439,1,1,1,1,1,Inactive,1,0.0026916174699999997,0.00179326255,0.0014083154999999998,0.0,8.91938,305.152527,163.195328,29.838502899999998,9.068188000000001,0.0,6.77710867,1,0.0,1,0.0,1,1,1,1,Bad Input,Bad Input,1,341.643158,548.7695309999999,0.0,0.8978630999999999,1,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active
11-Mar-2026 09:00:02,1,809.6666,0.0,1,1,1,1,0.0,99.36555,9.988977,152.525,1,1,1,1,1,1,1,1,1,Inactive,Inactive,Inactive,Active,1,7.714322,194.71156299999998,31.01991,655.480957,0.0,3.6173889999999997,1,1,1,1,1,1,Bad Input,Bad Input,1,1006.20355,0.0,0.0,203.896439,1,1,1,1,1,Inactive,1,0.0026916174699999997,0.00179326255,0.0014083154999999998,0.0,8.921623,305.152527,163.195328,29.838502899999998,9.068188000000001,0.0,6.77710867,1,0.0,1,0.0,1,1,1,1,Bad Input,Bad Input,1,341.7393,548.7695309999999,0.0,0.8978630999999999,1,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active
11-Mar-2026 09:00:03,1,809.6666,0.0,1,1,1,1,0.0,99.36555,9.98609352,152.525,1,1,1,1,1,1,1,1,1,Inactive,Inactive,Inactive,Active,1,7.714322,194.71156299999998,31.01991,655.480957,0.0,3.6173889999999997,1,1,1,1,1,1,Bad Input,Bad Input,1,1006.35736,0.0,0.0,203.896439,1,1,1,1,1,Inactive,1,0.0026916174699999997,0.00179326255,0.0014083154999999998,0.0,8.924828,305.152527,163.195328,29.838502899999998,9.068188000000001,0.0,6.77710867,1,0.0,1,0.0,1,1,1,1,Bad Input,Bad Input,1,341.867462,548.7695309999999,0.0,0.8951399,1,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active
11-Mar-2026 09:00:04,1,810.2162,0.0,1,1,1,1,0.0,99.36555,9.982569,152.525,1,1,1,1,1,1,1,1,1,Inactive,Inactive,Inactive,Active,1,7.714322,194.71156299999998,31.01991,654.960266,0.0,3.6173889999999997,1,1,1,1,1,1,Bad Input,Bad Input,1,1006.6265300000001,0.0,0.0,203.896439,1,1,1,1,1,Inactive,1,0.0026916174699999997,0.00179326255,0.0014083154999999998,0.0,8.927071,305.152527,163.195328,29.838502899999998,9.068188000000001,0.0,6.77710867,1,0.0,1,0.0,1,1,1,1,Bad Input,Bad Input,1,341.867462,548.7695309999999,0.0,0.8965815309999999,1,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active
11-Mar-2026 09:00:05,1,810.2162,0.0,1,1,1,1,0.0,99.36555,9.980967,152.525,1,1,1,1,1,1,1,1,1,Inactive,Inactive,Inactive,Active,1,7.714322,194.71156299999998,31.01991,654.960266,0.0,3.6173889999999997,1,1,1,1,1,1,Bad Input,Bad Input,1,1006.43427,0.0,0.0,203.896439,1,1,1,1,1,Inactive,1,0.0026916174699999997,0.00179326255,0.0014083154999999998,0.0,8.928993,305.152527,163.195328,29.838502899999998,9.068188000000001,0.0,6.77710867,1,0.0,1,0.0,1,1,1,1,Bad Input,Bad Input,1,342.1879,548.7695309999999,0.0,0.898183465,1,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active
11-Mar-2026 09:00:06,1,810.2162,0.0,1,1,1,1,0.0,99.36555,9.980967,152.525,1,1,1,1,1,1,1,1,1,Inactive,Inactive,Inactive,Active,1,7.714322,194.71156299999998,31.01991,654.960266,0.0,3.6173889999999997,1,1,1,1,1,1,Bad Input,Bad Input,1,1006.43427,0.0,0.0,203.896439,1,1,1,1,1,Inactive,1,0.0026916174699999997,0.00179326255,0.0014083154999999998,0.0,8.928993,305.152527,163.195328,29.838502899999998,9.068188000000001,0.0,6.77710867,1,0.0,1,0.0,1,1,1,1,Bad Input,Bad Input,1,342.1879,548.7695309999999,0.0,0.898183465,1,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active
11-Mar-2026 09:00:07,1,809.902161,0.0,1,1,1,1,0.0,99.36555,9.980967,152.525,1,1,1,1,1,1,1,1,1,Inactive,Inactive,Inactive,Active,1,7.714322,194.71156299999998,31.01991,654.960266,0.0,3.6173889999999997,1,1,1,1,1,1,Bad Input,Bad Input,1,1006.5496199999999,0.0,0.0,203.896439,1,1,1,1,1,Inactive,1,0.0026916174699999997,0.00179326255,0.0014083154999999998,0.0,8.930916,305.152527,163.195328,29.838502899999998,9.068188000000001,0.0,6.77710867,1,0.0,1,0.0,1,1,1,1,Bad Input,Bad Input,1,342.1879,548.7695309999999,0.0,0.9001056999999999,1,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active
11-Mar-2026 09:00:08,1,809.902161,0.0,1,1,1,1,0.0,99.36555,9.980967,152.525,1,1,1,1,1,1,1,1,1,Inactive,Inactive,Inactive,Active,1,7.71765137,194.71156299999998,31.01991,654.960266,0.0,3.6173889999999997,1,1,1,1,1,1,Bad Input,Bad Input,1,1006.04974,0.0,0.0,203.7939,1,1,1,1,1,Inactive,1,0.0026916174699999997,0.00179326255,0.0014083154999999998,0.0,8.930916,305.152527,163.195328,29.838502899999998,9.068188000000001,0.0,6.77710867,1,0.0,1,0.0,1,1,1,1,Bad Input,Bad Input,1,342.316071,548.7695309999999,0.0,0.8973825000000001,1,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active
11-Mar-2026 09:00:09,1,809.234863,0.0,1,1,1,1,0.0,99.36555,9.980967,152.525,1,1,1,1,1,1,1,1,1,Inactive,Inactive,Inactive,Active,1,7.7189,194.71156299999998,30.891861,654.960266,0.0,3.6173889999999997,1,1,1,1,1,1,Bad Input,Bad Input,1,1006.28046,0.0,0.0,203.7939,1,1,1,1,1,Inactive,1,0.0026916174699999997,0.00179326255,0.0014083154999999998,0.0,8.932198,305.152527,163.195328,29.838502899999998,9.068188000000001,0.0,6.77710867,1,0.0,1,0.0,1,1,1,1,Bad Input,Bad Input,1,342.316071,548.7695309999999,0.0,0.8840868000000001,1,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active
