attack_id,n,det_real_only,det_synthetic_only,det_real_plus_synthetic
1,949,0.0,0.0,0.0
2,452,11.5,0.0,15.0
3,392,16.3,0.0,6.1
7,438,92.7,0.0,16.2
8,973,99.8,99.5,99.7
10,165,1.2,0.0,5.5
11,565,91.2,28.0,98.6
16,285,0.0,0.0,2.5
17,726,26.0,0.0,0.0
21,730,70.3,0.0,18.9
22,472,0.4,8.3,97.0
23,706,99.9,94.9,99.6
25,621,9.0,0.0,19.3
26,1454,3.2,5.6,4.7
27,1696,0.0,0.0,0.0
28,34213,94.1,93.5,96.8
30,1180,4.4,2.9,4.2
31,376,5.1,0.0,3.2
32,610,87.7,15.9,90.2
33,453,51.2,26.5,36.9
35,490,12.4,25.9,12.4
36,549,83.6,100.0,88.0
37,478,100.0,100.0,100.0
39,410,12.2,0.0,4.4
40,306,80.7,65.7,84.3
41,1679,63.4,20.4,63.8
