P206.Status,t_stamp,AIT202.Pv,P205.Status,P203.Status,FIT503.Pv,PIT501.Pv,FIT502.Pv,MV101.Status,P101.Status,AIT402.Pv,P1_STATE,PIT503.Pv,MV503.Status,P502.Status,P403.Status,MV502.Status,P2_STATE,LIT101.Pv,P6_STATE,AIT503.Pv,P204.Status,LIT301.Pv,AIT201.Pv,P5_STATE,PIT502.Pv,AIT502.Pv,AIT203.Pv,AIT501.Pv,MV504.Status,FIT301.Pv,MV302.Status,MV201.Status,P602.Status,MV303.Status,MV501.Status,LIT401.Pv,MV304.Status,FIT201.Pv,P3_STATE,FIT101.Pv,FIT504.Pv,FIT601.Pv,P302.Status,P4_STATE,P402.Status,AIT504.Pv,P301.Status,P601.Status,P102.Status,P401.Status,FIT401.Pv,DPIT301.Pv,P201.Status,P501.Status,MV301.Status,FIT501.Pv,UV401.Status,AIT401.Pv,P202.Status,P404.Status
1.0,2020-06-22 09:00:00,6.935914,1.0,1.0,0.00217648758999999,28.9669323,0.00192135269999999,1.0,1.0,0.0,1.0,24.4328383999999,1.0,1.0,1.0,1.0,1.0,613.4814,1.0,31.6905918,1.0,627.483337,6.9533453,1.0,17.4286346,260.0,149.269424,7.30473,1.0,0.0006405534,1.0,1.0,1.0,1.0,1.0,1006.242,1.0,0.000256303465,1.0,0.0,0.0,0.000256303465,1.0,1.0,1.0,0.769033550999999,1.0,1.0,1.0,1.0,0.000512196699999999,3.534157,1.0,1.0,1.0,0.00256344536,1.0,0.0,1.0,1.0
1.0,2020-06-22 09:00:01,6.944566,1.0,1.0,0.00217648758999999,28.9669323,0.00192135269999999,1.0,1.0,0.0,1.0,24.4328383999999,1.0,1.0,1.0,1.0,1.0,613.6776,1.0,31.6905918,1.0,627.483337,6.9533453,1.0,17.4286346,260.0,149.269424,7.30473,1.0,0.0006405534,1.0,1.0,1.0,1.0,1.0,1006.1651,1.0,0.000256303465,1.0,0.0,0.0,0.000256303465,1.0,1.0,1.0,0.769033550999999,1.0,1.0,1.0,1.0,0.000512196699999999,3.534157,1.0,1.0,1.0,0.00256344536,1.0,0.0,1.0,1.0
1.0,2020-06-22 09:00:02,6.95321751,1.0,1.0,0.00217648758999999,28.9669323,0.00192135269999999,1.0,1.0,0.0,1.0,24.4328383999999,1.0,1.0,1.0,1.0,1.0,613.7561,1.0,31.6905918,1.0,627.483337,6.9533453,1.0,17.4286346,260.0,149.269424,7.30473,1.0,0.0006405534,1.0,1.0,1.0,1.0,1.0,1006.39581,1.0,0.000256303465,1.0,0.0,0.0,0.000256303465,1.0,1.0,1.0,0.769033550999999,1.0,1.0,1.0,1.0,0.000512196699999999,3.534157,1.0,1.0,1.0,0.00256344536,1.0,0.0,1.0,1.0
1.0,2020-06-22 09:00:03,6.95513999999999,1.0,1.0,0.00217648758999999,28.9669323,0.00192135269999999,1.0,1.0,0.0,1.0,24.4328383999999,1.0,1.0,1.0,1.0,1.0,613.795349,1.0,31.6905918,1.0,627.483337,6.9533453,1.0,17.4286346,260.0,149.269424,7.30088472,1.0,0.0006405534,1.0,1.0,1.0,1.0,1.0,1006.01129,1.0,0.000256303465,1.0,0.0,0.0,0.000256303465,1.0,1.0,1.0,0.769033550999999,1.0,1.0,1.0,1.0,0.000512196699999999,3.534157,1.0,1.0,1.0,0.00256344536,1.0,0.0,1.0,1.0
1.0,2020-06-22 09:00:04,6.965714,1.0,1.0,0.00217648758999999,28.9669323,0.00192135269999999,1.0,1.0,0.0,1.0,24.4328383999999,1.0,1.0,1.0,1.0,1.0,613.716858,1.0,31.7546787,1.0,627.483337,6.9533453,1.0,17.4286346,260.0,149.269424,7.30088472,1.0,0.0006405534,1.0,1.0,1.0,1.0,1.0,1006.43427,1.0,0.000256303465,1.0,0.0,0.0,0.000256303465,1.0,1.0,1.0,0.769033550999999,1.0,1.0,1.0,1.0,0.000512196699999999,3.534157,1.0,1.0,1.0,0.00256344536,1.0,0.0,1.0,1.0
1.0,2020-06-22 09:00:05,6.9702,1.0,1.0,0.00217648758999999,28.9669323,0.00192135269999999,1.0,1.0,0.0,1.0,24.4328383999999,1.0,1.0,1.0,1.0,1.0,613.7561,1.0,31.7546787,1.0,627.483337,6.9533453,1.0,17.4286346,260.0,149.269424,7.30088472,1.0,0.0006405534,1.0,1.0,1.0,1.0,1.0,1006.242,1.0,0.000256303465,1.0,0.0,0.0,0.000256303465,1.0,1.0,1.0,0.769033550999999,1.0,1.0,1.0,1.0,0.000512196699999999,3.534157,1.0,1.0,1.0,0.00256344536,1.0,0.0,1.0,1.0
1.0,2020-06-22 09:00:06,6.971482,1.0,1.0,0.00217648758999999,28.9669323,0.00192135269999999,1.0,1.0,0.0,1.0,24.4328383999999,1.0,1.0,1.0,1.0,1.0,613.716858,1.0,31.7546787,1.0,627.483337,6.9533453,1.0,17.4286346,260.0,149.269424,7.30088472,1.0,0.0006405534,1.0,1.0,1.0,1.0,1.0,1006.39581,1.0,0.000256303465,1.0,0.0,0.0,0.000256303465,1.0,1.0,1.0,0.769033550999999,1.0,1.0,1.0,1.0,0.000512196699999999,3.534157,1.0,1.0,1.0,0.00256344536,1.0,0.0,1.0,1.0
1.0,2020-06-22 09:00:07,6.971802,1.0,1.0,0.00217648758999999,28.9669323,0.00192135269999999,1.0,1.0,0.0,1.0,24.4328383999999,1.0,1.0,1.0,1.0,1.0,613.716858,1.0,31.7546787,1.0,627.483337,6.9533453,1.0,17.4286346,260.0,149.269424,7.29896199999999,1.0,0.0006405534,1.0,1.0,1.0,1.0,1.0,1006.0882,1.0,0.000256303465,1.0,0.0,0.0,0.000256303465,1.0,1.0,1.0,0.769033550999999,1.0,1.0,1.0,1.0,0.000512196699999999,3.534157,1.0,1.0,1.0,0.00256344536,1.0,0.0,1.0,1.0
1.0,2020-06-22 09:00:08,6.971802,1.0,1.0,0.00217648758999999,28.9669323,0.00192135269999999,1.0,1.0,0.0,1.0,24.4328383999999,1.0,1.0,1.0,1.0,1.0,613.5599,1.0,31.7546787,1.0,627.483337,6.9533453,1.0,17.4286346,260.0,149.269424,7.29768038,1.0,0.0006405534,1.0,1.0,1.0,1.0,1.0,1006.35736,1.0,0.000256303465,1.0,0.0,0.0,0.000256303465,1.0,1.0,1.0,0.769033550999999,1.0,1.0,1.0,1.0,0.000512196699999999,3.534157,1.0,1.0,1.0,0.00256344536,1.0,0.0,1.0,1.0
1.0,2020-06-22 09:00:09,6.971802,1.0,1.0,0.00217648758999999,28.9669323,0.00192135269999999,1.0,1.0,0.0,1.0,24.4328383999999,1.0,1.0,1.0,1.0,1.0,613.7561,1.0,31.7546787,1.0,627.483337,6.9533453,1.0,17.4286346,260.0,149.269424,7.29639864,1.0,0.0006405534,1.0,1.0,1.0,1.0,1.0,1005.85748,1.0,0.000256303465,1.0,0.0,0.0,0.000256303465,1.0,1.0,1.0,0.769033550999999,1.0,1.0,1.0,1.0,0.000512196699999999,3.534157,1.0,1.0,1.0,0.00256344536,1.0,0.0,1.0,1.0
