attack_id,n,det_real_only,det_synthetic_only,det_real_plus_synthetic
1,949,0.0,0.0,0.0
2,452,10.6,0.0,15.0
3,392,13.8,0.0,0.0
7,438,89.7,0.0,94.7
8,973,99.7,83.5,97.4
10,165,1.2,0.0,0.0
11,565,89.4,7.6,28.7
16,285,0.0,0.0,0.0
17,726,25.5,0.0,16.0
21,730,69.6,0.0,0.0
22,472,0.0,7.2,0.0
23,706,99.7,76.5,98.3
25,621,8.7,97.6,0.5
26,1454,3.1,7.6,1.1
27,1696,0.0,0.0,0.0
28,34213,93.9,98.2,93.5
30,1180,4.4,0.0,3.1
31,376,3.5,0.0,14.1
32,610,87.7,0.0,89.5
33,453,51.0,18.5,41.7
35,490,12.0,6.5,9.6
36,549,83.2,10.6,86.9
37,0,0.0,0.0,0.0
39,0,0.0,0.0,0.0
40,0,0.0,0.0,0.0
41,0,0.0,0.0,0.0
